"","ZIP","listing_count"
"1","06902",1
"2","07087",2
"3","07102",1
"4","10001",10
"5","10002",10
"6","10003",9
"7","10005",1
"8","10006",1
"9","10007",2
"10","10009",17
"11","10010",5
"12","10011",10
"13","10012",5
"14","10013",3
"15","10014",9
"16","10016",9
"17","10017",1
"18","10019",13
"19","10020",1
"20","10021",4
"21","10022",1
"22","10023",7
"23","10024",3
"24","10025",27
"25","10026",18
"26","10027",15
"27","10028",5
"28","10029",16
"29","10030",5
"30","10031",23
"31","10032",18
"32","10033",6
"33","10034",8
"34","10035",9
"35","10036",9
"36","10037",2
"37","10038",3
"38","10039",3
"39","10040",5
"40","10065",2
"41","10075",1
"42","10128",5
"43","10304",2
"44","10306",1
"45","10465",1
"46","10466",1
"47","10467",1
"48","10475",1
"49","11004",2
"50","11101",5
"51","11102",10
"52","11103",30
"53","11104",17
"54","11105",11
"55","11106",9
"56","11201",5
"57","11203",8
"58","11204",2
"59","11205",9
"60","11206",21
"61","11207",24
"62","11208",10
"63","11209",4
"64","11210",3
"65","11211",17
"66","11212",9
"67","11213",4
"68","11214",6
"69","11215",18
"70","11216",24
"71","11217",13
"72","11218",10
"73","11219",1
"74","11220",6
"75","11221",39
"76","11222",19
"77","11223",1
"78","11224",1
"79","11225",9
"80","11226",16
"81","11229",1
"82","11230",4
"83","11231",7
"84","11232",3
"85","11233",15
"86","11234",4
"87","11235",4
"88","11236",6
"89","11237",14
"90","11238",19
"91","11249",3
"92","11354",8
"93","11355",10
"94","11356",3
"95","11357",1
"96","11358",1
"97","11361",1
"98","11362",1
"99","11366",1
"100","11367",3
"101","11368",11
"102","11369",5
"103","11370",3
"104","11372",12
"105","11373",24
"106","11374",14
"107","11375",5
"108","11377",10
"109","11378",1
"110","11379",7
"111","11385",25
"112","11412",11
"113","11413",5
"114","11415",2
"115","11416",1
"116","11417",3
"117","11418",9
"118","11419",2
"119","11420",1
"120","11421",10
"121","11422",6
"122","11423",3
"123","11428",3
"124","11429",2
"125","11432",8
"126","11433",6
"127","11434",10
"128","11435",3
"129","11436",8
"130","11590",1
"131","11691",6
"132","11692",4
"133","11694",1
"134","11697",1
"135","11701",1
"136","11801",1
